gene,slope_z,r,p,n_cells_expr
ENSG00000160124,-0.006731030693426143,-0.01062425248856557,0.017397224012797478,50107
ENSG00000160131,-0.008815373551702659,-0.011912308654497656,3.932332197476787e-05,119116
ENSG00000160145,-0.0032965735191392855,-0.0049171816924624785,0.19797658027629678,68543
ENSG00000160161,-0.014047869690383874,-0.023873539921297135,0.29438594230390913,1931
ENSG00000160172,0.001144401639625996,0.002037595072371006,0.8664619366475503,6813
ENSG00000160179,-0.01506163700929879,-0.025844127898291054,5.784634878036158e-18,111645
ENSG00000160180,-0.014421866197118662,-0.027932672091858193,0.0004103806517711861,15997
ENSG00000160181,-0.005481815501095512,-0.037714416882033086,0.1773366021886819,1281
ENSG00000160182,-0.033284609313398196,-0.05796826308032372,0.0019229699945170814,2861
ENSG00000160183,-0.010773490845517413,-0.024799345080655462,0.0313449676629883,7535
ENSG00000160185,-0.020846760279579005,-0.03712633075573931,5.23306829852982e-07,18255
ENSG00000160188,0.022089848358041668,0.04054881483376519,0.00016376552204709808,8636
ENSG00000160190,-0.021335544558083386,-0.0351974340351558,1.0941872509541154e-27,95929
ENSG00000160191,-0.027064831950053457,-0.05178899367594568,1.9453667305987824e-25,40454
ENSG00000160193,-0.012289088321320077,-0.01713194059914054,3.922105622140376e-05,57604
ENSG00000160194,-0.021069187451809412,-0.02503071826930705,1.2830944977392099e-24,167382
ENSG00000160199,-0.01568404789957273,-0.021273417640755413,6.686213690214298e-13,114071
ENSG00000160200,0.01154423723217522,0.02021738470998654,0.26693951947430095,3017
ENSG00000160201,-0.024199289588293905,-0.03501698438047277,2.6027570456252103e-38,136520
ENSG00000160202,-0.01195046926273758,-0.17191289173050092,0.18152743913649572,62
ENSG00000160207,-7.963765193469114e-05,-0.00011880135733101649,0.9921317201957097,6893
ENSG00000160208,-0.015286546265419589,-0.02184791451384242,4.963682185443761e-14,118852
ENSG00000160209,-0.02449302647104246,-0.036279797498651886,5.704518119327135e-53,178178
ENSG00000160211,-0.018779380947353104,-0.02380080666840438,6.65734381244177e-15,107120
ENSG00000160213,-0.011502183180890793,-0.015887307234109825,1.6124382076453367e-17,287477
ENSG00000160214,-0.01492403785727313,-0.02181319109716734,3.865098687304865e-08,63491
ENSG00000160216,-0.01129739147063732,-0.01446399450221563,8.25114577144082e-09,158752
ENSG00000160218,-0.021220113466731833,-0.030461624857741662,3.8205525203990595e-44,209210
ENSG00000160219,-0.023512926314416347,-0.0342554429684528,1.942096702395553e-20,73120
ENSG00000160221,-0.009206348538606008,-0.015056960296882735,0.0006865930277871651,50833
ENSG00000160223,-0.005265341949314752,-0.007492232986384539,0.20393474988120427,28754
ENSG00000160224,0.003599371144640946,0.008035984127911755,0.8394606397031094,638
ENSG00000160226,-0.015542862677620553,-0.022504703999814937,9.780712530541156e-08,56097
ENSG00000160229,-0.015833139586811835,-0.02497744218985859,3.829615684598457e-08,48449
ENSG00000160233,-0.016482717090504338,-0.02263583986983928,0.10036965338866209,5270
ENSG00000160255,0.013337557414303793,0.017744145081526202,3.85314672682609e-12,153058
ENSG00000160256,-0.011934330167243322,-0.018079540692520407,1.5501351731247899e-07,84199
ENSG00000160271,-0.015231318724385642,-0.01946555680727885,4.297009620066212e-09,90995
ENSG00000160282,0.011840753629759102,0.01961341788198271,0.04129014860104354,10825
ENSG00000160284,-0.012831616648489641,-0.02176662917804343,5.553110608695847e-05,34291
ENSG00000160285,-0.004140422836595424,-0.005687762900896438,0.10520388064972681,81138
ENSG00000160293,-0.012733070332969625,-0.0180450398034077,2.9798643980592473e-07,80643
ENSG00000160294,-0.019192191046598393,-0.025687190845117475,6.732649022659119e-17,105676
ENSG00000160298,-0.015770056483721064,-0.024217064297866468,0.0010132279511990987,18418
ENSG00000160299,-0.019991986234303996,-0.024771475663737347,3.231677053590806e-13,86449
ENSG00000160305,-0.02286558323220707,-0.033559864145465176,4.887351061165216e-41,159718
ENSG00000160307,-0.02643510915620677,-0.04842231412201937,3.5506645958907736e-07,11046
ENSG00000160310,-0.021964726593656853,-0.029468563027799953,1.1674814985594928e-43,220996
ENSG00000160318,0.00017840866839500294,0.00027141668732259453,0.9790436645141639,9369
ENSG00000160321,-0.006824820424475997,-0.00942602826933097,0.16953662206931286,21240
ENSG00000160323,-0.010968370449575082,-0.015590611403061021,0.2096020626284446,6478
ENSG00000160325,-0.007551005598140104,-0.013068066004725428,0.04176701839225629,24270
ENSG00000160326,-0.012021341725180115,-0.016061701174096693,0.0090044007117264,26443
ENSG00000160336,-0.008515941963329016,-0.012840091972950444,0.016307110477840985,34994
ENSG00000160339,-0.03067964662419229,-0.05854365335982911,0.10915915710330776,750
ENSG00000160345,0.011801978385105454,0.021295875750161578,0.04463360699895959,8892
ENSG00000160349,-0.008560809040755296,-0.02887746568294203,0.7882111370443785,89
ENSG00000160352,-0.012147854553407849,-0.018270863749313866,5.103215416724845e-05,49150
ENSG00000160360,0.004749323910629875,0.007216261657524637,0.44676405596445035,11118
