NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS		312	0.11892943	2.4118173	0.0	0.010570405	0.513	13941	tags=88%, list=76%, signal=355%	
GOBP_RENAL_SYSTEM_DEVELOPMENT	GOBP_RENAL_SYSTEM_DEVELOPMENT		334	0.11662075	2.4033117	0.002096436	0.010929416	0.533	8245	tags=56%, list=45%, signal=100%	
GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE	GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE		178	0.15366942	2.3961048	0.0	0.011471686	0.555	6809	tags=52%, list=37%, signal=82%	
GOBP_RESPONSE_TO_BMP	GOBP_RESPONSE_TO_BMP		166	0.15730971	2.392502	0.0	0.01168547	0.571	7657	tags=57%, list=42%, signal=97%	
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY		32	0.35754773	2.3873513	0.0	0.011804276	0.582	3205	tags=53%, list=17%, signal=64%	
GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION		71	0.23789668	2.3777714	0.0	0.012319315	0.594	7297	tags=63%, list=40%, signal=105%	
GOBP_DIENCEPHALON_DEVELOPMENT	GOBP_DIENCEPHALON_DEVELOPMENT		79	0.23161128	2.3668683	0.0020120724	0.013141823	0.618	8096	tags=67%, list=44%, signal=119%	
GOBP_SYNAPSE_ASSEMBLY	GOBP_SYNAPSE_ASSEMBLY		274	0.12377414	2.3571067	0.0	0.0141546745	0.652	6348	tags=47%, list=35%, signal=70%	
GOBP_CARTILAGE_DEVELOPMENT	GOBP_CARTILAGE_DEVELOPMENT		210	0.138562	2.3538501	0.0	0.014297014	0.663	6325	tags=48%, list=34%, signal=72%	
GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION	GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION		46	0.29314232	2.3408177	0.0019417476	0.015512328	0.695	3417	tags=48%, list=19%, signal=59%	
